eeincome1,erbmi,erhhch,erspemch,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eugroshp,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm
-2,33.200001,1,-1,30,2,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,2,1,2
1,22.700001,3,-1,45,14,-1,2,1,2,-1,1,1,2,1,3,1,2,1,-1,1,2,2
2,49.400002,3,-1,60,0,-1,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
-2,-1,3,-1,0,0,2,1,2,2,-1,2,-1,-1,1,1,2,2,1,1,2,6,-1
2,31,3,-1,65,0,-1,1,2,1,5,2,-1,-1,1,1,1,2,1,2,1,1,2
1,30.700001,3,1,20,10,1,1,1,1,2,1,3,1,1,2,-1,-1,2,1,-1,-1,-1
1,33.299999,1,5,30,5,-1,1,1,2,-1,1,3,2,1,3,1,2,3,2,2,5,2
1,27.5,3,-1,30,5,-1,2,1,1,3,1,1,2,1,1,1,2,1,-1,1,3,2
1,25.799999,3,-1,117,10,-1,2,1,1,6,2,-1,-1,1,1,1,2,1,-1,1,4,2
1,28.299999,3,5,80,0,2,1,2,2,-1,1,2,1,1,1,1,2,1,1,3,1,2
1,40.5,3,-1,35,20,1,1,1,2,-1,1,5,2,1,1,-1,-1,2,1,1,1,-1
2,28,1,-1,0,5,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,2,2
1,27.9,3,5,25,10,-1,1,1,2,-1,1,5,1,1,2,-1,-1,2,2,-1,-1,-1
2,30.4,3,5,150,5,1,1,1,2,-1,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
2,26.799999,3,-1,0,300,-1,2,1,2,-1,1,1,2,1,2,-1,-1,2,-1,-1,-1,-1
1,32.900002,3,5,80,0,-1,2,2,2,-1,1,3,1,1,2,-1,-1,2,-1,-1,-1,-1
3,25.799999,3,-1,105,2,-1,1,1,1,7,2,-1,-1,1,1,1,2,1,2,1,2,2
1,26.5,3,-1,60,5,-1,2,1,1,4,2,-1,-1,1,1,1,2,1,-1,1,2,1
-2,35.200001,3,-1,30,1,2,1,1,2,-1,1,2,2,1,2,-1,-1,2,1,-1,-1,-1
1,-1,3,5,0,10,-1,1,1,1,4,2,-1,-1,1,3,1,2,1,2,1,2,1
1,25.299999,3,5,47,15,2,1,1,2,-1,1,1,2,1,2,2,2,3,1,-1,-1,-1
1,33.400002,3,5,90,0,-1,1,2,2,-1,1,3,1,1,3,1,2,1,2,2,1,2
-3,25.5,3,-1,45,0,-1,2,2,2,-1,1,1,1,1,1,1,2,1,-1,1,1,2
1,30,3,5,180,10,-1,1,1,2,-1,1,1,2,1,1,1,2,1,2,1,3,2
1,34.299999,3,5,30,10,2,1,1,2,-1,1,2,2,1,2,-1,-1,2,1,-1,-1,-1
1,29.1,1,5,90,10,-1,2,1,2,-1,2,-1,-1,1,1,-1,-1,2,-1,1,1,-1
2,23.799999,3,-1,65,5,1,1,1,2,-1,2,-1,-1,1,1,1,2,1,1,2,2,2
2,26.5,3,5,90,0,-1,2,2,1,7,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,36.599998,3,-1,10,3,-1,1,1,1,4,2,-1,-1,1,1,1,2,3,2,2,6,2
1,28.200001,3,5,95,0,-1,2,2,1,2,2,-1,-1,1,1,1,2,1,-1,2,4,2
1,19.799999,3,-1,130,30,2,1,1,1,1,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
2,21.5,3,-1,20,0,-1,1,2,2,-1,2,-1,-1,1,2,1,2,1,2,-1,-1,2
2,21.200001,3,-1,130,0,-1,2,2,1,7,2,-1,-1,1,1,1,2,1,-1,1,2,2
1,27.1,3,5,105,0,-1,2,2,1,3,2,-1,-1,1,3,2,2,3,-1,1,6,-1
1,30.6,3,-1,85,0,-1,1,2,1,5,1,1,2,1,1,2,2,1,2,2,2,-1
-3,31.6,3,-1,30,4,-1,1,1,1,4,2,-1,-1,1,2,1,2,1,2,-1,-1,2
1,18.299999,3,-1,145,0,-1,1,2,1,2,1,4,2,1,1,1,2,1,2,1,2,2
2,26.5,3,-1,60,5,-1,2,1,1,5,2,-1,-1,1,1,1,2,1,-1,1,2,2
3,24.200001,3,-1,15,0,2,1,2,2,-1,1,1,2,1,1,1,2,1,1,1,1,2
2,27.4,3,-1,30,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,1,1,2
2,25.799999,3,-1,45,0,-1,2,2,1,3,1,3,2,1,1,1,2,1,-1,2,1,2
1,23.5,3,5,5,15,-1,1,1,2,-1,1,1,1,1,3,-1,-1,2,2,2,6,-1
1,25.700001,3,-1,150,0,-1,2,2,1,7,2,-1,-1,1,1,1,2,1,-1,1,3,2
3,33.700001,3,5,170,5,-1,2,1,1,4,2,-1,-1,1,3,1,2,3,-1,3,1,1
1,22.5,3,-1,45,10,-1,1,1,1,3,2,-1,-1,1,1,1,2,1,2,1,2,2
1,25.799999,3,5,120,5,-1,2,1,2,-1,1,4,2,1,1,1,2,1,-1,3,3,2
1,26.5,3,-1,120,0,-1,1,2,1,6,1,7,1,1,1,1,2,1,2,1,2,2
1,28.299999,3,-1,45,0,-1,1,2,1,5,1,4,1,1,2,-1,-1,2,2,-1,-1,-1
1,19.5,3,2,134,15,-1,1,1,1,14,1,3,2,1,1,1,2,1,2,1,2,2
3,23.700001,3,5,60,30,-1,1,1,2,-1,1,2,1,1,2,-1,-1,2,2,-1,-1,-1
1,23.5,1,-1,45,22,-1,2,1,1,3,1,3,1,1,2,-1,-1,2,-1,-1,-1,-1
1,21.799999,3,-1,40,20,1,1,1,1,2,1,3,2,1,1,1,2,1,1,1,3,1
2,25.799999,3,5,85,120,-1,2,1,1,7,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,36,3,-1,125,90,1,1,1,2,-1,1,4,1,1,1,1,2,1,1,2,1,2
1,34.900002,3,-1,75,2,-1,1,1,1,4,1,2,2,1,1,1,2,1,2,1,3,2
1,28.1,3,5,42,15,-1,2,1,2,-1,1,1,1,1,1,1,2,1,-1,1,2,2
1,29,3,5,53,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,1,5,2
1,24.299999,3,5,0,55,1,1,1,2,-1,1,1,2,1,3,1,2,1,1,2,4,1
1,29,3,5,45,20,-1,1,1,2,-1,1,2,2,1,1,1,2,1,2,1,3,2
1,34.700001,3,5,120,0,-1,1,2,1,1,1,2,2,1,3,1,2,3,2,1,6,2
