Child	Number	Time	Trial	Shape	Age
A	11	30	1	Cube	4.67
B	9	19	1	Cube	5
C	8	18.6	1	Cube	4.42
D	9	23	1	Cube	4.33
E	10	29	1	Cube	4.33
F	13	178	1	Cube	4.83
G	10	42	1	Cube	4.42
H	7	20.2	1	Cube	5
I	6	12	1	Cube	3.58
J	12	39.2	1	Cube	4
K	6	14.4	1	Cube	4.58
L	9	81.4	1	Cube	3.67
M	8	17.4	1	Cube	4.83
N	7	31	1	Cube	4
O	9	52.2	1	Cube	3.83
P	9	41	1	Cube	3.83
Q	8	18.8	1	Cube	5.08
R	7	20.2	1	Cube	4
S	8	35	1	Cube	2.67
T	4	24.2	1	Cube	2.67
U	8	47	1	Cube	3
V	4	7.4	1	Cube	2.42
W	11	54.6	1	Cube	4.17
X	7	90	1	Cube	4
Y	5	11	1	Cube	3.33
A	6	30	1	Cylinder	4.67
B	4	6	1	Cylinder	5
C	5	14.2	1	Cylinder	4.42
D	4	8.2	1	Cylinder	4.33
E	6	14	1	Cylinder	4.33
F	8	52.4	1	Cylinder	4.83
G	5	14	1	Cylinder	4.42
H	6	22.2	1	Cylinder	5
I	6	16.6	1	Cylinder	3.58
J	5	7.8	1	Cylinder	4
K	5	11.4	1	Cylinder	4.58
L	7	30.2	1	Cylinder	3.67
M	5	14.4	1	Cylinder	4.83
N	6	17.2	1	Cylinder	4
O	5	15	1	Cylinder	3.83
P	6	15.4	1	Cylinder	3.83
Q	5	10	1	Cylinder	5.08
R	7	33.8	1	Cylinder	4
S	5	29.2	1	Cylinder	2.67
T	4	32.2	1	Cylinder	2.67
U	5	20.6	1	Cylinder	3
V	3	63.4	1	Cylinder	2.42
W	4	6.4	1	Cylinder	4.17
X	6	26.2	1	Cylinder	4
Y	4	11.6	1	Cylinder	3.33
A	10	35	2	Cube	4.67
B	10	28	2	Cube	5
C	7	18	2	Cube	4.42
D	11	34.8	2	Cube	4.33
E	6	16.2	2	Cube	4.33
F	13	82.4	2	Cube	4.83
G	9	21.6	2	Cube	4.42
H	6	16.8	2	Cube	5
I	6	15.4	2	Cube	3.58
J	11	46.4	2	Cube	4
K	7	28	2	Cube	4.58
L	9	60.6	2	Cube	3.67
M	7	20.2	2	Cube	4.83
N	9	63.6	2	Cube	4
O	9	35	2	Cube	3.83
P	11	57	2	Cube	3.83
Q	9	30	2	Cube	5.08
R	7	17	2	Cube	4
S	5	81	2	Cube	2.67
T	9	47	2	Cube	2.67
U	6	17.4	2	Cube	3
V	5	11	2	Cube	2.42
W	8	52	2	Cube	4.17
X	8	40	2	Cube	4
Y	5	9.8	2	Cube	3.33
A	8	125	2	Cylinder	4.67
B	5	14.4	2	Cylinder	5
C	5	24	2	Cylinder	4.42
D	6	14.4	2	Cylinder	4.33
E	5	15	2	Cylinder	4.33
F	9	44.6	2	Cylinder	4.83
G	5	10.8	2	Cylinder	4.42
H	4	18	2	Cylinder	5
I	6	16	2	Cylinder	3.58
J	8	55	2	Cylinder	4
K	6	19.8	2	Cylinder	4.58
L	5	19.8	2	Cylinder	3.67
M	6	10.6	2	Cylinder	4.83
N	5	17	2	Cylinder	4
O	5	10	2	Cylinder	3.83
P	5	19.4	2	Cylinder	3.83
Q	8	21	2	Cylinder	5.08
R	6	15	2	Cylinder	4
S	5	36.2	2	Cylinder	2.67
T	5	31.4	2	Cylinder	2.67
U	4	8.4	2	Cylinder	3
V	7	7.2	2	Cylinder	2.42
W	5	12	2	Cylinder	4.17
X	5	25	2	Cylinder	4
Y	4	6	2	Cylinder	3.33
