game	team	conference	location	result
1	BOS	East	Away	Loss
1	CLE	East	Home	Win
2	HOU	West	Away	Win
2	GS	West	Home	Loss
3	CHA	East	Away	Loss
3	DET	East	Home	Win
4	BKN	East	Away	Loss
4	IND	East	Home	Win
5	MIA	East	Away	Loss
5	ORL	East	Home	Win
6	PHI	East	Away	Loss
6	WAS	East	Home	Win
7	MIL	East	Away	Win
7	BOS	East	Home	Loss
8	NO	West	Away	Loss
8	MEM	West	Home	Win
9	ATL	East	Away	Win
9	DAL	West	Home	Loss
10	DEN	West	Away	Loss
10	UTA	West	Home	Win
11	MIN	West	Away	Loss
11	SA	West	Home	Win
12	POR	West	Away	Win
12	PHO	West	Home	Loss
13	HOU	West	Away	Win
13	SAC	West	Home	Loss
14	CHI	East	Away	Loss
14	TOR	East	Home	Win
15	NY	East	Away	Loss
15	OKC	West	Home	Win
16	LAC	West	Away	Win
16	LAL	West	Home	Loss
17	ATL	East	Away	Loss
17	CHA	East	Home	Win
18	POR	West	Away	Win
18	IND	East	Home	Loss
19	CLE	East	Away	Win
19	MIL	East	Home	Loss
20	BOS	East	Away	Win
20	PHI	East	Home	Loss
21	DET	East	Away	Loss
21	WAS	East	Home	Win
22	ORL	East	Away	Loss
22	BKN	East	Home	Win
23	UTA	West	Away	Loss
23	MIN	West	Home	Win
24	SAC	West	Away	Win
24	DAL	West	Home	Loss
25	GS	West	Away	Win
25	NO	West	Home	Loss
26	LAL	West	Away	Win
26	PHO	West	Home	Loss
27	PHI	East	Away	Loss
27	TOR	East	Home	Win
28	SA	West	Away	Win
28	CHI	East	Home	Loss
29	ORL	East	Away	Win
29	CLE	East	Home	Loss
30	DAL	West	Away	Loss
30	HOU	West	Home	Win
31	GS	West	Away	Loss
31	MEM	West	Home	Win
32	IND	East	Away	Loss
32	MIA	East	Home	Win
33	DET	East	Away	Win
33	NY	East	Home	Loss
34	POR	West	Away	Loss
34	MIL	East	Home	Win
35	SAC	West	Away	Loss
35	DEN	West	Home	Win
36	OKC	West	Away	Loss
36	UTA	West	Home	Win
37	PHO	West	Away	Loss
37	LAC	West	Home	Win
38	ATL	East	Away	Loss
38	BKN	East	Home	Win
39	MIN	West	Away	Win
39	OKC	West	Home	Loss
40	NO	West	Away	Win
40	LAL	West	Home	Loss
41	PHI	East	Away	Win
41	DET	East	Home	Loss
42	ATL	East	Away	Loss
42	MIA	East	Home	Win
43	MEM	West	Away	Win
43	HOU	West	Home	Loss
44	CHA	East	Away	Loss
44	MIL	East	Home	Win
45	GS	West	Away	Win
45	DAL	West	Home	Loss
46	TOR	East	Away	Loss
46	SA	West	Home	Win
47	WAS	East	Away	Win
47	DEN	West	Home	Loss
48	SAC	West	Away	Loss
48	PHO	West	Home	Win
49	CHI	East	Away	Loss
49	CLE	East	Home	Win
50	BKN	East	Away	Loss
50	ORL	East	Home	Win
51	NY	East	Away	Loss
51	BOS	East	Home	Win
52	IND	East	Away	Win
52	MIN	West	Home	Loss
53	NO	West	Away	Loss
53	POR	West	Home	Win
54	UTA	West	Away	Loss
54	LAC	West	Home	Win
55	DEN	West	Away	Loss
55	CHA	East	Home	Win
56	MIN	West	Away	Loss
56	DET	East	Home	Win
57	HOU	West	Away	Win
57	PHI	East	Home	Loss
58	CLE	East	Away	Loss
58	BKN	East	Home	Win
59	SA	West	Away	Win
59	MIA	East	Home	Loss
60	IND	East	Away	Loss
60	OKC	West	Home	Win
61	MEM	West	Away	Loss
61	DAL	West	Home	Win
62	UTA	West	Away	Loss
62	PHO	West	Home	Win
63	TOR	East	Away	Loss
63	GS	West	Home	Win
64	WAS	East	Away	Loss
64	LAL	West	Home	Win
65	ATL	East	Away	Loss
65	CHI	East	Home	Win
66	DAL	West	Away	Loss
66	MEM	West	Home	Win
67	BOS	East	Away	Win
67	MIL	East	Home	Loss
68	LAC	West	Away	Win
68	POR	West	Home	Loss
69	NO	West	Away	Win
69	SAC	West	Home	Loss
70	HOU	West	Away	Win
70	CHA	East	Home	Loss
71	SA	West	Away	Loss
71	ORL	East	Home	Win
72	DEN	West	Away	Win
72	ATL	East	Home	Loss
73	BKN	East	Away	Loss
73	NY	East	Home	Win
74	OKC	West	Away	Loss
74	MIN	West	Home	Win
75	WAS	East	Away	Loss
75	GS	West	Home	Win
76	TOR	East	Away	Win
76	LAL	West	Home	Loss
77	CLE	East	Away	Loss
77	NO	West	Home	Win
78	OKC	West	Away	Win
78	CHI	East	Home	Loss
79	HOU	West	Away	Loss
79	MEM	West	Home	Win
80	BOS	East	Away	Win
80	MIA	East	Home	Loss
81	PHI	East	Away	Win
81	DAL	West	Home	Loss
82	LAL	West	Away	Loss
82	UTA	West	Home	Win
83	PHO	West	Away	Loss
83	POR	West	Home	Win
84	DET	East	Away	Win
84	LAC	West	Home	Loss
85	MIL	East	Away	Win
85	ATL	East	Home	Loss
86	SA	West	Away	Loss
86	IND	East	Home	Win
87	DEN	West	Away	Win
87	BKN	East	Home	Loss
88	ORL	East	Away	Loss
88	CHA	East	Home	Win
89	WAS	East	Away	Win
